,"Category","LineNumber","Subtitles","SubNum"
,"Viewer","Single","The key!","S57"
,"Viewer","Single","Give me your hand!","S58"
,"Viewer","Single","Accio!","S59"
,"Player","Single","Are you alright?","S60"
,"Player","Single","(pained cry)","S61"
,"Player","Single","You're hurt.","S62"
,"Player","Single","Perhaps a bit.","S63"
,"Player","Single","Take this. It's Wiggenweld Potion. That stuff‘ll right you in a second.","S64"
,"Player","Single","What happened?","S65"
,"Player","Single","Poor George - I can't believe he - ","S66"
,"Player","Multi","What the hell got into that damn thing? Attacking a carriage mid-air? A typical dragon would never -","S67"
,"Player","Single","Professor?","S68"
,"Player","Single","(laboured breathing) Sir? Where are we?","S69"
,"Player","Single","I'm not sure. But that key you discovered was clearly a portkey.","S70"
,"Player","Single","Portkey?","S71"
,"Player","Single","An item enchanted to bring whoever touches it to a specific place.","S72"
,"Player","Single","I'm feeling better sir -  If you'd like to look around a bit.","S73"
,"Player","Multi","I would. But stay close. We've no idea who created this portkey - or why.","S74"
,"Player","Single","How far did that Portkey take us?","S75"
,"Player","Multi","Farther from London than the carriage travelled. We're somewhere in the Scottish Highlands.","S76"
,"Player","Single","So, those ruins. Do you think -","S77"
,"Player","Single","The portkey was meant to lead us there?  I do.","S78"
,"Player","Single","This has not been the day either of us expected.","S79"
,"Player","Single","But Miriam sent that Portkey to George for a reason.","S80"
,"Player","Multi","And I believe that she - and now George - died in pursuit of whatever it was meant to lead to.","S81"
,"Player","Single","If you're sure you're alright, and wouldn't mind indulging me -","S82"
,"Player","Single","I'd like to have a look around.","S83"
,"Player","Single","I'd like to have a look around. Absolutely, sir.","S84"
,"Player","Single","Good. Let's see if we can find a path - however faded it may be.","S85"
,"Player","Single","Mind your step.","S86"
,"Player","Multi","Where do you suppose your wife got the Portkey that brought us here?","S87"
,"Player","Multi","A good question. Miriam spent years searching for evidence of a long-forgotten form of ancient magic.","S88"
,"Player","Single","Ancient magic?","S89"
,"Player","Multi","Yes. A powerful magic wielded by a rare few - that seems to have been lost to time.","S90"
,"Player","Multi","Hogwarts Castle was built by, and is itself a stronghold of that ancient magic.","S91"
,"Player","Multi","I don't know where she came into possession of the Portkey. But I am certain it was to do with that search.","S92"
,"Player","Single","Ah. there's the path down below. This way.","S93"
,"Player","Single","But sir - why was your wife searching for evidence of lost magic?","S94"
,"Player","Multi","Miriam wanted to understand why such powerful magic disappeared from the wizarding world - spoke of the good it could do.","S95"
,"Player","Multi","But magic is no different than any power. What really matters is the one who wields it.","S96"
,"Player","Single","Is that ice?","S97"
,"Player","Single","It's not cold enough here. It appears to be a sort of enchantment.","S98"
,"Player","Single","Someone wanted to block this path.","S99"
,"Player","Single","Let's see some of that wandwork you were practicing.","S100"
,"Player","Single","Focus on the centre.","S101"
,"Player","Single","Excellent.","S102"
,"Player","Single","That was a bit rougher than I'd expected.","S103"
,"Player","Single","Your wandwork's improving with every cast.","S104"
,"Player","Single","Ah, up there.","S105"
,"Player","Single","Thank you, sir.","S106"
,"Player","Single","We're close now. It's just ahead.","S107"
,"Player","Single","Steady yourself.","S108"
,"Player","Single","Reparo!","S109"
,"Player","Single","Almost there!","S110"
,"Player","Single","Why would someone have built this here?","S111"
,"Player","Multi","I suspect they valued their privacy. That portkey led us here for a reason.","S112"
,"Player","Single","Let's have a look around for anything that seems - out of place.","S113"
,"Player","Single","Professor, this statue - ","S114"
,"Player","Single","This may have been his home.","S115"
,"Player","Single","Professor - it's a mural of some kind.","S116"
,"Player","Single","Hmm - Perhaps our host was a noted Seer. Interesting.","S117"
,"Player","Multi","That enchanted, crystallized stone again. But what could it be blocking?","S118"
,"Player","Single","What's this?","S119"
,"Player","Single","Professor Fig!","S120"
,"Player","Multi","How odd. Why would someone have conjured that enchanted stone here?","S121"
,"Player","Single","And how is there a room behind it?","S122"
,"Player","Single","What room?","S123"
,"Player","Single","I don't see anything.","S124"
,"Player","Single","There's that glow again - Like the glow on the portkey container!","S125"
,"Player","Single","What in Merlin's name - ?","S126"
,"Viewer","Single","Godric's heart.","S127"
,"Viewer","Single","Where are we?","S128"
,"Viewer","Single","I don't believe it.","S129"
,"Viewer","Single","Hello?","S130"
,"Viewer","Single","(snoring)","S131"
,"Viewer","Single","(snoring) Ahem.","S132"
,"Viewer","Single","(snoring)","S133"
,"Viewer","Single","(snoring) Ahem.","S134"
,"Viewer","Single","Ahem!","S135"
,"Viewer","Single","Ahem! ","S136"
,"Viewer","Single","(startled yell)","S137"
,"Viewer","Single","It can't be.","S138"
,"Viewer","Single","Just a moment. (mumbles)","S139"
,"Viewer","Single","Welcome to Gringotts Wizarding Bank.","S140"
,"Viewer","Single","Vault number twelve, I presume?","S141"
,"Viewer","Single","Precisely.","S142"
,"Viewer","Single","The key?","S143"
,"Viewer","Single","Hmm?","S144"
,"Viewer","Single","Your wife's portkey.","S145"
,"Viewer","Single","Oh, yes. Of course.","S146"
,"Viewer","Single","This way, then.","S147"
,"Viewer","Single","Stay close.","S148"
,"Viewer","Single","After you.","S149"
,"Viewer","Multi","Keep your hands inside the cart if you don't wish to lose them. (chuckles)","S150"
,"Viewer","Single","How many vaults are there in Gringotts?","S151"
,"Viewer","Multi","Hundreds. In fact, you'll see quite a few on our way to vault number twelve. As we speak, we're just beneath the main lobby. The vaults you see now are the newest.","S152"
,"Viewer","Single","Are private entrances to the bank common at Gringotts?","S153"
,"Viewer","Multi","They are most uncommon. Only one with great wealth or power - or both - could have arranged for such a service.","S154"
,"Viewer","Single","You'll want to take a breath.","S155"
,"Viewer","Single","A what?","S156"
,"Viewer","Multi","That waterfall washes away all enchantments. It's a security measure.","S157"
,"Viewer","Single","Experienced the Thief's Downfall before, have you?","S158"
,"Viewer","Single","Heard of it.","S159"
,"Viewer","Single","These are the lower vaults that we're passing now.","S160"
,"Viewer","Single","How deep are we going?","S161"
,"Viewer","Multi","Vault number twelve was commissioned shortly after Gringotts was founded over four centuries ago. It resides in the deepest part of the bank.","S162"
,"Viewer","Single","Settle in. We've quite a distance to go.","S163"
,"Viewer","Single","Vault number?","S164"
,"Viewer","Single","Vault twelve.","S165"
,"Viewer","Single","Momentous day.","S166"
,"Viewer","Single","On your way.","S167"
,"Viewer","Single","Professor.","S168"
,"Viewer","Single","The arm band that guard was wearing was glowing.","S169"
,"Viewer","Single","Like the glow you saw in the Porky container?","S170"
,"Viewer","Single","No, darker. I saw that same glow on the dragon's collar.","S171"
,"Viewer","Single","Yeah, what was that?","S172"
,"Viewer","Single","We were just wondering about that goblin back there.","S173"
,"Viewer","Multi","He watches over the oldest section of the bank. Rare anyone goes there anymore.","S174"
,"Viewer","Single","Here we are.","S175"
,"Viewer","Single","When was the last time this vault was accessed?","S176"
,"Viewer","Single","A goblin has been stationed at my desk for hundreds of years.","S177"
,"Viewer","Single","In that time, no one has visited vault twelve - until today.","S178"
,"Viewer","Single","Vault twelve.","S179"
,"Viewer","Single","Thank you for your help.","S180"
,"Viewer","Single","What do you suppose we should be looking for?","S181"
,"Viewer","Single","I'm not sure. Sir, I wonder if you might...","S182"
,"Viewer","Multi","The instructions for vault twelve indicate that I am to grant access to the holder of the key - and then close the door.","S183"
,"Viewer","Single","Wait!","S184"
,"Viewer","Single","Best of luck.","S185"
,"Player","Single","Professor?","S186"
,"Player","Single","That was certainly unexpected.","S187"
,"Player","Multi","Let me think. There must be something here. Hmm, Revelio, perhaps.","S188"
,"Player","Single","Revelio?","S189"
,"Player","Single","Yes, a revealing charm. No time like the present.","S190"
,"Player","Single","Let's see what we're missing, shall we? Ready your wand and focus.","S191"
,"Player","Single","Revelio.","S192"
,"Player","Single","There. I saw something.","S193"
,"Player","Single","Move a bit closer and try again.","S194"
,"Player","Single","A door.","S195"
,"Player","Multi","Well, that's a start. There's that symbol again. I don't suppose you see a way to - ","S196"
,"Player","Multi","I do. Professor! That symbol has the same glow as the one I saw on the Portkey container.","S197"
,"Player","Multi","If what you can see reveals the way forward, then I daresay we are about to discover the secret of this vault!","S198"
,"Player","Single","Lead the way.","S199"
,"Player","Single","Lumos!","S200"
,"Player","Multi","This is no ordinary vault. I suspect we will need to earn our way out of here.","S201"
,"Player","Multi","What do you mean, 'earn' our way out? Do you think this is some sort of test?","S202"
,"Player","Single","I do. But to what end I can't say.","S203"
,"Player","Multi","Stay close. There will be no disapparating if things go poorly - not out of Gringotts.","S204"
,"Player","Single","I see something up ahead!","S205"
,"Player","Single","What is it?","S206"
,"Player","Single","That glow again, but - on the floor.","S207"
,"Player","Single","Lumos!","S208"
,"Player","Single","What happened.","S209"
,"Player","Multi","When I moved towards the glow, it suddenly seemed as if the ground was swirling about.","S210"
,"Player","Single","Are you all right?","S211"
,"Player","Single","Yes, sir. I'm fine.","S212"
,"Player","Single","You seem to have caused the floor to change.","S213"
,"Player","Single","That statue - ","S214"
,"Player","Single","What statue?","S215"
,"Player","Single","I see some sort of statue, but only as a reflection in the floor.","S216"
,"Player","Single","I presume this is what you saw reflected in the floor.","S217"
,"Player","Multi","It is. The reflection's still there, but the statue's positions don't match.","S218"
,"Player","Multi","Wait! When you moved, the reflection turned in the direction of the light.","S219"
,"Player","Single","Hmm, perhaps you should cast Lumos.","S220"
,"Player","Single","Lumos.","S221"
,"Player","Single","Well done.","S222"
,"Player","Single","Now the reflection is turning towards me.","S223"
,"Player","Single","It does follow the light.","S224"
,"Player","Single","Look out!","S225"
,"Player","Single","Stay close!","S226"
,"Player","Single","Professor?","S227"
,"Player","Single","Professor? Professor Fig!","S228"
,"Player","Single","Professor, where are you?","S229"
,"Player","Single","This isn't good.","S230"
,"Player","Single","Where am I supposed to go?","S231"
,"Player","Single","What's happening?","S232"
,"Player","Single","The whispers of magic seem to be leading me somewhere.","S233"
,"Player","Single","Revelio!","S234"
,"Player","Single","Lumos!","S235"
,"Player","Single","Ah. That's where they're leading me. That glow again.","S236"
,"Player","Single","Lumos!","S237"
,"Player","Single","Revelio!","S238"
,"Player","Single","I suppose I'm on my own this time.","S239"
,"Player","Multi","It seems I have no choice - I'm going to have to fight my way out of here.","S240"
,"Viewer","Single","There you are! How did you - ? What is this place?","S241"
,"Viewer","Single","I don't know. But I found this floating above that - basin.","S242"
,"Viewer","Single","That is no mere basin. That is a Pensive - for viewing memories.","S243"
,"Viewer","Single","I wonder - ","S244"
,"Viewer","Single","Follow my lead.","S245"
,"Viewer","Single","All is in place.","S246"
,"Viewer","Single","The Portkey is well hidden?","S247"
,"Viewer","Single","Perhaps too well. I wonder if the path we've created -","S248"
,"Viewer","Multi","May be impossible to follow? It will only be impossible for one who cannot see traces of ancient magic - as I can.","S249"
,"Viewer","Multi","Your ability to see what others cannot will not be enough, Percival.","S250"
,"Viewer","Multi","We are entrusting the one who embarks on this path with powerful secrets, with knowledge others will do anything to obtain.","S251"
,"Viewer","Multi","Yes, and if we are correct, Charles, the witch or wizard who completes the trials will have proven themselves worthy of that knowledge and the responsibility that accompanies it.","S252"
,"Viewer","Single","We've done all that we can.","S253"
,"Viewer","Single","That's what you're seeing? The glow that surrounded them?","S254"
,"Viewer","Single","Yes, sir.","S255"
,"Viewer","Single","Astonishing.","S256"
,"Viewer","Single","Can I see magic?","S257"
,"Viewer","Multi","Traces of an ancient magic, to be precise. The magic that Miriam had always believed existed, but could never - ","S258"
,"Viewer","Multi","Miriam - and perhaps George - died in pursuit of knowledge that has been dormant for centuries -","S259"
,"Viewer","Single","And you, it seems, are the key to understanding why. We would - ","S260"
,"Viewer","Single","It all looks rather different than it did a moment ago.","S261"
,"Viewer","Single","Someone's coming.","S262"
,"Viewer","Single","Who were they?","S263"
,"Viewer","Single","I don't know, but sir - you shouldn't be in here.","S264"
,"Viewer","Single","I was right.","S265"
,"Viewer","Single","Ranrok.","S266"
,"Viewer","Multi","Seems my reputation precedes me. I was beginning to think no one was ever gonna visit Rackham's vault.","S267"
,"Viewer","Single","And why are you here?","S268"
,"Viewer","Multi","No need for that. Just give me whatever it is you've found here and we can let bygones be bygones.","S269"
,"Viewer","Single","Sir, they had the key to the vault.","S270"
,"Viewer","Single","Choose your next words wisely.","S271"
,"Viewer","Multi","I only meant that the instructions to vault twelve were quite clear.","S272"
,"Viewer","Multi","Sir, I must insist. I was to grant access only to one with the key, and you didn't have -","S273"
,"Viewer","Single","I have no patience for traitors.","S274"
,"Viewer","Single","Now. Where were we?","S275"
,"Viewer","Single","I'm not giving you anything.","S276"
,"Viewer","Single","Mmh, well - perhaps your young friend here will be more helpful.","S277"
,"Viewer","Single","I know a way out.","S278"
,"Viewer","Single","Professor!","S279"
,"Viewer","Single","Are you all right?","S280"
,"Viewer","Single","Fine, sir.","S281"
,"Viewer","Multi","I've never seen so powerful a goblin. He seemed wholly unaffected by my magic.","S282"
,"Viewer","Single","Where are we?","S283"
,"Viewer","Single","It can't be.","S284"
,"Viewer","Multi","It seems those who set up the pensive, the locket - and the path to both -  wanted someone with your ability to end up here.","S285"
,"Viewer","Single","Come. We have a Sorting Ceremony to get to.","S286"
,"Viewer","Single","Oh good - we haven't missed the Sorting Ceremony.","S287"
,"Viewer","Single","I'm no expert, but that seems more appropriate.","S288"
,"Viewer","Multi","Now - I need to study this locket as soon as I can, but first I must contact the Ministry.","S289"
,"Viewer","Multi","They need to know what happened to George - and be warned of Ranrock.","S290"
,"Viewer","Multi","For the moment, I ask that you keep all that's happened this evening between you and me.","S291"
,"Viewer","Single","Of course, sir.","S292"
,"Viewer","Single","Thank you. Ready for the sorting ceremony?","S293"
,"Viewer","Multi","Phineas Nigellus Black. (sigh) Prepare yourself to meet the Headmaster.","S294"
,"Viewer","Single","Fig - nice of you to join us.","S295"
,"Viewer","Single","The Sorting Ceremony's over.","S296"
,"Viewer","Single","There were - complications.","S297"
,"Viewer","Single","Complications?","S298"
,"Viewer","Single","It seems the goblin problem has...","S299"
,"Viewer","Multi","Enough goblins! I've no time for rumors, Fig, and I'm rapidly losing whatever patience I had left.","S300"
,"Viewer","Multi","If you're lucky, we might still be able to get you sorted this evening.","S301"
,"Viewer","Single","I'll be in touch.","S302"
,"Viewer","Single","Professor Weasley! We've one more to be sorted.","S303"
,"Viewer","Single","Welcome. You're just in time. Have a seat.","S304"
